"code","description","role","term_allowed"
"teacher","Teacher: (Incl. Qualified and Unqualified Teachers, Tutors)","true","true"
"support","Educational Support Staff: (incl. Cover Supervisor, Teaching Assistants)","true","true"
"senior","Senior Roles: Headteacher and Senior Leadership positions","true","true"
"other","Other Roles: (Invigilators, Admin & Clerical, IT Staff, Finance Staff, Cleaners etc.)","true","true"
"over_12_week","Over 12 Week Reduction","false","false"
"nominated","Nominated Worker","false","false"
"fixed_term","Fixed Term","false","false"
"agency_management","Agency Management","false","true"
